obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"387.17477"	"387.17480"	"10200"	"5.83e+06"	B	"2.94879294"	"6.15016512"	"5"	"5"		"T5720"	"L11631"	
"387.25009"	"387.250102"	"234000"	"1.05e+07"	A	"0.99011115"	"4.19086081"	"2"	"2"		"T3548"	"L11631"	
"387.29210"	"387.292094"	"3240"	"8.86e+05"	B	"2.72754450"	"5.92794713"	"4"	"4"		"T5720"	"L11631"	
"387.37603"	"387.376015"	"63000"	"6.57e+06"	B+	"2.43269470"	"5.63240401"	"5"	"4"		"T5720"	"L11631"	
"387.40532"	"387.405348"	"479"	""		"2.27860466"	"5.47807170"	"2"	"2"		""	"L11631"	
"387.60397"	"387.603965"	"7200"	"1.15e+05"	C+	"1.01105568"	"4.20888328"	"1"	"2"		"T5720"	"L11631"	
"387.66701"	"387.667080"	"620"	""		"2.27860466"	"5.47591165"	"2"	"3"		""	"L11631"	
"387.80180"	"387.801779"	"275000"	"7.72e+06"	A	"0.95815732"	"4.15435379"	"3"	"3"		"T3548"	"L11631"	
"387.8182"	"387.818297"	"1510"	""		"3.28302483"	"6.47908516"	"1"	"0"		""	"L11631"	
"387.85730"	"387.857282"	"1290000"	"6.17e+06"	B+	"0.08728574"	"3.28302483"	"2"	"1"		"T5720"	"L11631"	
"387.86707"	"387.867079"	"49000"	"7.02e+06"	B+	"2.45343044"	"5.64908881"	"4"	"3"		"T5720"	"L11631"	
"387.87256"	"387.87262"	"10500"	"5.34e+07"	C+	"3.27398440"	"6.46959714"	"1"	"1"		"T5720"	"L11631"	
"388.19734"	"388.197393"	"690"	""		"3.54652001"	"6.73945929"	"2"	"3"		""	"L11631"	
"388.32797"	"388.327981"	"6500"	"1.28e+07"	C+	"3.25148176"	"6.44334733"	"3"	"3"		"T5720"	"L11631"	
"388.43584"	"388.435819"	"17400"	"3.99e+06"	B	"2.69240763"	"5.88338708"	"5"	"4"		"T5720"	"L11631"	
"388.51453"	"388.514529"	"1320"	"8.36e+05"	C	"2.99035244"	"6.18068544"	"4"	"3"		"T5720"	"L11631"	
"388.55103"	"388.551012"	"16600"	"7.26e+06"	B+	"2.42419831"	"5.61423177"	"1"	"2"		"T5720"	"L11631"	
"388.59202"	"388.59223"	"479"	""		"3.69459719"	"6.88429230"	"4"	"5"		""	"L11631"	
"388.62820"	"388.628183"	"550000"	"5.29e+06"	A	"0.05156912"	"3.24096914"	"3"	"3"		"T3547"	"L11631"	
"388.70480"	"388.704779"	"251000"	"3.52e+06"	A	"0.91460217"	"4.10337372"	"4"	"4"		"T3548"	"L11631"	
"388.84160"	"388.841607"	"2090"	""		"3.26570610"	"6.45335558"	"2"	"2"		""	"L11631"	
"388.85132"	"388.851317"	"200000"	"2.50e+07"	B+	"1.60789577"	"4.79546566"	"2"	"2"		"T5720"	"L11631"	
"388.88213"	"388.882145"	"10200"	"1.95e+07"	C+	"3.01725044"	"6.20456765"	"2"	"1"		"T5720"	"L11631"	
"388.99199"	"388.991865"	"407"	""		"3.26570610"	"6.45212430"	"2"	"1"		""	"L11631"	
"389.03955"	"389.039353"	"710"	"1.67e+06"	C	"3.24096914"	"6.42699840"	"3"	"3"		"T5720"	"L11631"	
"389.08402"	"389.084021"	"7900"	"3.06e+06"	C+	"2.72754450"	"5.91320801"	"4"	"3"		"T5720"	"L11631"	
"389.19262"	"389.19264"	"4790"	"2.71e+07"	C+	"3.41489715"	"6.59967157"	"1"	"1"		"T5720"	"L11631"	
"389.28920"	"389.289184"	"1510"	""		"2.75857762"	"5.94256226"	"3"	"4"		""	"L11631"	
"389.29819"	"389.298204"	"500"	""		"3.26570610"	"6.44961696"	"2"	"1"		""	"L11631"	
"389.33091"	"389.330922"	"3160"	"4.52e+06"	B	"2.83159117"	"6.01523448"	"2"	"1"		"T5720"	"L11631"	
"389.33901"	"389.338988"	"18600"	"1.00e+07"	B+	"2.94879294"	"6.13237029"	"5"	"5"		"T5720"	"L11631"	
