obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"470.3984"	"470.39840"	"110"	""		"2.2514340"	"4.8864242"	"1"	"0"		""	"L7362"	
"471.2146"	"471.2151"	"1000"	""		"2.4982425"	"5.128666"	"2"	"3"		""	"L4447"	
"471.2347"	"471.2346"	"600"	""		"2.4982425"	"5.1285570"	"2"	"2"		""	"L4447"	
"471.3959"	"471.39590"	"160"	""		"2.2588413"	"4.8882558"	"2"	"1"		""	"L7362"	
"472.2278"	"472.22769"	"1600"	"3.6e+07"	B+	"1.7983082"	"4.4230913"	"1"	"2"		"T5178"	"L7362"	
"472.9466"	"472.94662"	"220h"	""		"2.2712989"	"4.8920920"	"3"	"2"		""	"L7362"	
"474.1922"	"474.19221"	"1600"	"3.9e+07"	B+	"1.77514463"	"4.3890536"	"0"	"1"		"T5178"	"L7362"	
"475.5495"	"475.5508"	"700h"	"2.1e+07"	C+	"2.4982425"	"5.1046841"	"2"	"1"		"T5960"	"L7362"	
"478.3782"	"478.3782"	"1500"	""		"2.6902652"	"5.281302"	"1"	"0"		""	"L4447"	
"478.4320"	"478.43198"	"1700"	"3.0e+07"	B+	"1.7983082"	"4.3890536"	"1"	"1"		"T5178"	"L7362"	
"481.1881"	"481.18799"	"2300"	"9.0e+07"	B+	"1.8471842"	"4.4230913"	"2"	"2"		"T5178"	"L7362"	
"483.2043"	"483.20425"	"2900"	"3.3e+07"	A'	"1.77514463"	"4.3403034"	"0"	"1"		"T5178"	"L4447"	
"485.5045"	"485.50448"	"1200"	"2.63e+07"	B+	"2.2514340"	"4.8044398"	"1"	"2"		"T5178"	"L7362"	
"486.8700"	"486.87005"	"1200"	"3.4e+07"	A'	"2.2588413"	"4.8046865"	"2"	"3"		"T5178"	"L7362"	
"486.9170"	"486.91724"	"1100"	"7.5e+06"	B+	"2.2588413"	"4.8044398"	"2"	"2"		"T5178"	"L4447"	
"487.2493"	"487.2490"	"1500"	"4.8e+07"	A'	"1.7983082"	"4.3421732"	"1"	"2"		"T5178"	"L7362"	
"487.6075"	"487.60745"	"1200"	"2.63e+07"	B+	"1.7983082"	"4.3403034"	"1"	"1"		"T5178"	"L4447"	
"489.1980"	"489.19800"	"1500"	"3.8e+07"	B	"2.2712989"	"4.8050293"	"3"	"4"		"T5178"	"L7362"	
"489.2639"	"489.26420"	"1100"	"4.3e+06"	B+	"2.2712989"	"4.8046865"	"3"	"3"		"T5178"	"L4447"	
"495.6277"	"495.6274"	"1300"	""		"2.6902652"	"5.1911279"	"1"	"2"		""	"L4447"	
"496.2263"	"496.22630"	"2500"	"6.14e+07"	AA	"1.8471842"	"4.3450286"	"2"	"3"		"T5178"	"L7362"	
"496.5584"	"496.5585"	"1900"	""		"2.6902652"	"5.186439"	"1"	"2"		""	"L4447"	
"496.7944"	"496.7942"	"1200"	"1.28e+07"	B+	"1.8471842"	"4.3421732"	"2"	"2"		"T5178"	"L7362"	
"497.1668"	"497.16680"	"120"	"1.3e+06"	B+	"1.8471842"	"4.3403034"	"2"	"1"		"T5178"	"L7362"	
"507.7692"	"507.7697"	"900"	""		"2.2712989"	"4.7123594"	"3"	"3"		""	"L4447"	
"515.6040"	"515.60400"	"500"	"2.7e+07"	C'	"2.4982425"	"4.9022128"	"2"	"3"		"T5363"	"L7362"	
"516.5486"	"516.5486"	"1800"	""		"2.6902652"	"5.0898395"	"1"	"0"		""	"L4447"	
"521.2978"	"521.29787"	"200"	"1.9e+06"	A'	"2.2514340"	"4.6291473"	"1"	"2"		"T5178"	"L7362"	
"522.2198"	"522.21992"	"1400"	"3.4e+07"	A'	"2.2514340"	"4.6249492"	"1"	"1"		"T5178"	"L7362"	
"522.5108"	"522.51079"	"1400"	""		"2.2514340"	"4.6236279"	"1"	"0"		""	"L7362"	
"522.9270"	"522.92697"	"1400"	"2.27e+07"	B+	"2.2588413"	"4.6291473"	"2"	"2"		"T5178"	"L7362"	
"523.8549"	"523.85479"	"2000"	"7.3e+07"	B+	"2.2588413"	"4.6249492"	"2"	"1"		"T5178"	"L7362"	
"525.6899"	"525.68986"	"3400"	"8.1e+07"	B+	"2.2712989"	"4.6291473"	"3"	"2"		"T5178"	"L7362"	
"532.9813"	"532.9811"	"500"	"1.7e+07"	C+	"2.4982425"	"4.8238356"	"2"	"1"		"T5960"	"L7362"	
"537.4069"	"537.40621"	"290"	""		"2.4982425"	"4.8046865"	"2"	"3"		""	"L4447"	
"545.0836"	"545.08373"	"1000"	"1.47e+07"	B+	"2.2588413"	"4.5327993"	"2"	"3"		"T5178"	"L7362"	
"548.0865"	"548.08638"	"2700"	"7.9e+07"	A'	"2.2712989"	"4.5327993"	"3"	"3"		"T5178"	"L7362"	
"548.6136"	"548.6135"	"1000"	"1.53e+07"	B+	"2.2514340"	"4.5107616"	"1"	"2"		"T5178"	"L7362"	
"550.4184"	"550.4181"	"2000"	"5.4e+07"	B+	"2.2588413"	"4.5107616"	"2"	"2"		"T5178"	"L7362"	
"552.1765"	"552.1768"	"1700"	"6.3e+07"	A'	"2.2514340"	"4.4961817"	"1"	"1"		"T5178"	"L7362"	
"553.4794"	"553.4799"	"1000"	"2.27e+07"	B+	"2.2712989"	"4.5107616"	"3"	"2"		"T5178"	"L7362"	
"554.0051"	"554.0050"	"1000"	"2.84e+07"	B+	"2.2588413"	"4.4961817"	"2"	"1"		"T5178"	"L7362"	
"554.3355"	"554.3353"	"1000h"	""		"2.6902652"	"4.9262725"	"1"	"2"		""	"L7362"	
"555.6384"	"555.6375"	"1400"	""		"2.6902652"	"4.9210323"	"1"	"2"		""	"L4447"	
"555.7908"	"555.7910"	"600"	""		"2.6902652"	"4.9204158"	"1"	"1"		""	"L4447"	
"559.8163"	"559.8159"	"1200"	"3.0e+05"	C'	"2.4982425"	"4.7123594"	"2"	"3"		"T5363"	"L4447"	
"581.6771"	"581.67702"	"1500"	"3.0e+05"	B+	"2.4982425"	"4.6291473"	"2"	"2"		"T5178"	"L7362"	
"597.0078"	"597.0078"	"600h"	""		"2.6902652"	"4.7664501"	"1"	"0"		""	"L7362"	
"615.8951"	"615.8943"	"350"	""		"2.4982425"	"4.5107616"	"2"	"2"		""	"L4447"	
"620.3901"	"620.3888"	"80"	""		"2.4982425"	"4.4961817"	"2"	"1"		""	"L4447"	
"627.2042"	"627.2041"	"80"	"1.4e+04"	C+	"2.2514340"	"4.2276633"	"1"	"1"		"T5960"	"L7362"	
"634.5726"	"634.57265"	"1400"	"2.1e+06"	C+	"2.2588413"	"4.2121232"	"2"	"2"		"T5960"	"L7362"	
"636.3910"	"636.3906"	"200"	"3.7e+06"	C+'	"2.2514340"	"4.1991361"	"1"	"1"		"T5960"	"L7362"	
"636.9918"	"636.9918"	"500"	"1.8e+07"	C+'	"2.2514340"	"4.1972978"	"1"	"0"		"T5960"	"L7362"	
"638.0728"	"638.07290"	"1000"	"5.2e+06"	C+	"2.2514340"	"4.1940010"	"1"	"2"		"T5960"	"L7362"	
"638.6458"	"638.64581"	"1300"	"1.1e+07"	C+	"2.2712989"	"4.2121232"	"3"	"2"		"T5960"	"L7362"	
"638.8203"	"638.8201"	"800"	"1.4e+07"	C+	"2.2588413"	"4.1991361"	"2"	"1"		"T5960"	"L7362"	
"640.8463"	"640.8463"	"3100"	"2.4e+07"	C+	"2.2712989"	"4.2054591"	"3"	"4"		"T5960"	"L7362"	
"644.6654"	"644.66536"	"350"	"1.5e+06"	C+	"2.2712989"	"4.1940010"	"3"	"2"		"T5960"	"L7362"	
"646.5774"	"646.5773"	"280"	""		"2.6902652"	"4.6072818"	"1"	"0"		""	"L7362"	
"650.3989"	"650.3992"	"2100"	"2.0e+07"	C+	"2.2588413"	"4.1645931"	"2"	"3"		"T5960"	"L7362"	
"654.6791"	"654.6788"	"500"	"3.8e+06"	C+	"2.2712989"	"4.1645931"	"3"	"3"		"T5960"	"L7362"	
"655.0244"	"655.0244"	"1400"	"8.9e+07"	C	"2.6902652"	"4.5825604"	"1"	"2"		"T5363"	"L7362"	
"661.7266"	"661.72651"	"1100"	"1.6e+07"	C+	"2.2514340"	"4.1245639"	"1"	"2"		"T5960"	"L7362"	
"664.3536"	"664.35372"	"400"	"4.4e+06"	C+	"2.2588413"	"4.1245639"	"2"	"2"		"T5960"	"L7362"	
"679.1022"	"679.10198"	"7000"	"8.9e+06"	B+'	"1.77514463"	"3.6003490"	"0"	"1"		"T5178"	"L7362"	
"687.8313"	"687.83128"	"12000"	"2.7e+07"	B+	"1.7983082"	"3.6003490"	"1"	"1"		"T5178"	"L7362"	
"689.2585"	"689.25894"	"2300"	"4.69e+04"	A+	"0.0000000"	"1.7983082"	"0"	"1"		"T6787"	"L7362"	
"707.0071"	"707.0072"	"14000"	"4.2e+07"	B	"1.8471842"	"3.6003490"	"2"	"1"		"T5178"	"L7362"	
"715.302"	"715.3057"	"170"	""		"2.6902652"	"4.4230913"	"1"	"2"		""	"L13482"	
"716.7143"	"716.7142"	"1100l"	"9.4e+06"	C+	"2.4982425"	"4.2276633"	"2"	"1"		"T5960"	"L7362"	
"723.2131"	"723.2128"	"440l"	"6.0e+06"	C+	"2.4982425"	"4.2121232"	"2"	"2"		"T5960"	"L7362"	
"728.7344"	"728.7349"	"70h"	"1.6e+06"	C+	"2.4982425"	"4.1991361"	"2"	"1"		"T5960"	"L7362"	
"730.9417"	"730.94166"	"1700"	"3.9e+07"	C+	"2.4982425"	"4.1940010"	"2"	"2"		"T5960"	"L7362"	
"740.812"	"740.8117"	"17"	""		"2.6902652"	"4.3634307"	"1"	"0"		""	"L13482"	
"743.842"	"743.8414"	"10"	"5.0e+05"	A'	"2.4982425"	"4.1645931"	"2"	"3"		"T5178"	"L13482"	
"750.338"	"750.3448"	"3"	""		"2.6902652"	"4.3421732"	"1"	"2"		""	"L13482"	
"762.1500"	"762.14999"	"100"	"7.8e+06"	A'	"2.4982425"	"4.1245639"	"2"	"2"		"T5178"	"L7362"	
"767.3077"	"767.3077"	"200s"	"6.6e+06"	C	"2.6902652"	"4.3056547"	"1"	"2"		"T5363"	"L7362"	
