obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"408.09615"	"408.09612+"	"13"	""		"1.4128433"	"4.4500985"	"2"	"1"		""	"L9224"	
"408.48673"	"408.48675+"	"43"	""		"1.6756148"	"4.7099655"	"2"	"3"		""	"L9224"	
"408.72467"	"408.72471+"	"8"	""		"1.6756148"	"4.7081990"	"2"	"2"		""	"L9224"	
"408.73435"	"408.73437+"	"9"	""		"1.5667416"	"4.5992541"	"1"	"1"		""	"L9224"	
"413.24266"	"413.24266+"	"309"	"1.46e+06"	B	"0.0000000"	"2.9994298"	"0"	"1"		"T5037,T5495"	"L9224"	
"417.93487"	"417.93488+"	"14"	""		"1.6756148"	"4.6413703"	"2"	"2"		""	"L9224"	
"422.39634"	"422.3963+"	"34"	""		"1.5207932"	"4.4552241"	"0"	"1"		""	"L9224"	
"423.95552"	"423.9555+"	"25"	"2.4e+07"	E	"1.6756148"	"4.5992541"	"2"	"1"		"T4515"	"L9224"	
"424.26050"	"424.2605+"	"17"	"5.6e+06"	E	"1.5667416"	"4.4882791"	"1"	"2"		"T4515"	"L9224"	
"426.44174"	"426.4417+"	"42"	"1.5e+07"	E	"1.5207932"	"4.4273876"	"0"	"1"		"T4515"	"L9224"	
"428.30973"	"428.3097+"	"530"	"6.4e+07"	E	"1.4128433"	"4.3067614"	"2"	"3"		"T4515"	"L9224"	
"429.11571"	"429.1157+"	"26"	""		"1.5667416"	"4.4552241"	"1"	"1"		""	"L9224"	
"430.51815"	"430.5181+"	"6"	""		"1.4128433"	"4.2919167"	"2"	"3"		""	"L9224"	
"432.30031"	"432.3003+"	"61"	"8.8e+06"	C+	"1.5667416"	"4.4339461"	"1"	"2"		"T5495"	"L9224"	
"432.51085"	"432.5108+"	"18"	"7.1e+06"	E	"1.6756148"	"4.5414238"	"2"	"3"		"T4515"	"L9224"	
