obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"400.3028"	"400.3025"	"15"	""		"5.688311"	"8.784698"	"3/2"	"3/2"		""	"L772"	
"401.0043"	"401.007"	"0?"	""		"6.1227049"	"9.213650"	"3/2"	"5/2"		""	"L772"	
"401.0836"	"401.0852"	"8h"	""		"5.724709"	"8.815053"	"3/2"	"5/2"		""	"L772"	
"401.58"	"401.590"	"10h"	""		"3.7858977"	"6.8723598"	"1/2"	"5/2"	E2	""	"L772"	
"402.2629"	"402.26286"	"1250"	"1.90e+07"	C	"3.7858977"	"6.8671955"	"1/2"	"3/2"		"T1343"	"L772"	
"402.7026"	"402.7022"	"10"	""		"5.724709"	"8.802645"	"3/2"	"3/2"		""	"L772"	
"405.0617"	"405.064"	"20h"	""		"5.724709"	"8.784698"	"3/2"	"3/2"		""	"L772"	
"405.2380"	"405.2381"	"2"	""		"5.777459"	"8.836134"	"5/2"	"7/2"		""	"L772"	
"405.638"	"405.6370"	"35h"	""		"3.8166920"	"6.8723598"	"3/2"	"5/2"	M1	""	"L772"	
"405.678"	"405.686"	"35h"	""		"3.8166920"	"6.8719921"	"3/2"	"7/2"	E2	""	"L772"	
"406.2641"	"406.2638"	"2000"	"2.10e+07"	C	"3.8166920"	"6.8676456"	"3/2"	"5/2"		"T1343"	"L772"	
"406.3238"	"406.32372"	"650"	""		"3.8166920"	"6.8671955"	"3/2"	"3/2"		""	"L772"	
"406.953"	"406.9524"	"6h"	""		"4.837701"	"7.883492"	"5/2"	"3/2"		""	"L772"	
"407.3224"	"407.3230"	"20h"	""		"4.973503"	"8.016523"	"3/2"	"5/2"		""	"L772"	
"407.5572"	"407.5578"	"50"	""		"5.777459"	"8.818726"	"5/2"	"7/2"		""	"L772"	
"408.0534"	"408.051"	"15h"	""		"5.777459"	"8.815053"	"5/2"	"5/2"		""	"L772"	
"409.7215"	"409.724"	"0h"	""		"5.777459"	"8.802645"	"5/2"	"3/2"		""	"L772"	
"410.4218"	"410.4212"	"25"	""		"4.973503"	"7.993553"	"3/2"	"1/2"		""	"L772"	
"411.14"	"411.133"	"3h"	""		"5.076382"	"8.091200"	"1/2"	"3/2"		""	"L772"	
"412.174"	"412.170"	"10"	""		"5.777459"	"8.784698"	"5/2"	"3/2"		""	"L772"	
"412.3287"	"412.3266"	"30h"	""		"5.421363"	"8.427456"	"5/2"	"3/2"		""	"L772"	
"417.7758"	"417.7753"	"100h"	""		"4.837701"	"7.804590"	"5/2"	"5/2"		""	"L772"	
"421.88"	"421.876"	"2h"	""		"5.153147"	"8.091200"	"5/2"	"3/2"		""	"L772"	
"423.09"	"423.096"	"5h"	""		"5.395050"	"8.324631"	"7/2"	"5/2"		""	"L772"	
"424.226"	"424.2261"	"30h"	""		"5.505682"	"8.427456"	"5/2"	"3/2"		""	"L772"	
"424.8956"	"424.8956"	"150"	"1.95e+07"	C+	"5.076382"	"7.993553"	"1/2"	"1/2"		"T1343"	"L772"	
"425.3390"	"425.3370"	"20h"	""		"5.102380"	"8.016523"	"7/2"	"5/2"		""	"L772"	
"425.9401"	"425.944"	"150h"	""		"4.973503"	"7.883492"	"3/2"	"3/2"		""	"L772"	
"426.7204"	"426.7221"	"2h"	""		"5.522772"	"8.427456"	"3/2"	"3/2"		""	"L772"	
"427.5107"	"427.5108"	"950"	"3.45e+07"	C+	"4.837701"	"7.737027"	"5/2"	"7/2"		"T1343"	"L772"	
"432.868"	"432.878"	"20h"	""		"5.153147"	"8.016523"	"5/2"	"5/2"		""	"L772"	
"433.600"	"433.598"	"10h"	""		"5.568835"	"8.427456"	"1/2"	"3/2"		""	"L772"	
"435.474"	"435.468"	"10h"	""		"5.244851"	"8.091200"	"3/2"	"3/2"		""	"L772"	
"437.820"	"437.816"	"550h"	""		"4.973503"	"7.804590"	"3/2"	"5/2"		""	"L772"	
"439.70"	"439.7006"	"10h"	""		"5.505682"	"8.324631"	"5/2"	"5/2"		""	"L772"	
"441.554"	"441.5551"	"200h"	""		"5.076382"	"7.883492"	"1/2"	"3/2"		""	"L772"	
"442.381"	"442.383"	"0h"	""		"5.522772"	"8.324631"	"3/2"	"5/2"		""	"L772"	
"448.0350"	"448.0349"	"500"	"3.0e+06"	C	"3.7858977"	"6.5524100"	"1/2"	"1/2"		"T1343"	"L772"	
"450.735"	"450.742"	"200h"	""		"5.574734"	"8.324631"	"7/2"	"5/2"		""	"L772"	
"450.9374"	"450.9382"	"400"	"2.75e+07"	C+	"5.244851"	"7.993553"	"3/2"	"1/2"		"T1343"	"L772"	
"451.3192"	"451.3187"	"50h"	""		"5.681073"	"8.427456"	"1/2"	"3/2"		""	"L772"	
"452.5112"	"452.5113"	"40h"	""		"5.688311"	"8.427456"	"3/2"	"3/2"		""	"L772"	
"453.0785"	"453.0783"	"800"	"8.4e+06"	C+	"3.8166920"	"6.5524100"	"3/2"	"1/2"		"T1343"	"L772"	
"453.9695"	"453.9699"	"800h"	"2.12e+07"	C+	"5.153147"	"7.883492"	"5/2"	"3/2"		"T1343"	"L772"	
"458.697"	"458.6967"	"1300h"	"3.20e+07"	C+	"5.102380"	"7.804590"	"7/2"	"5/2"		"T1343"	"L772"	
"464.258"	"464.2586"	"150h"	""		"5.421363"	"8.091200"	"5/2"	"3/2"		""	"L772"	
"465.1124"	"465.1122"	"2000"	"3.80e+07"	C+	"5.072089"	"7.737027"	"9/2"	"7/2"		"T1343"	"L772"	
"467.472"	"467.479"	"500h"	""		"5.153147"	"7.804590"	"5/2"	"5/2"		""	"L772"	
